Subject,Kind,Namespace,Role,Verbs,Resources,Scope,RiskLevel,Reason
clusterrole-aggregation-controller,ServiceAccount,kube-system,system:controller:clusterrole-aggregation-controller,escalate get list patch update watch,clusterroles,Cluster,HIGH,Can update clusterroles (potential privilege escalation)
system:masters,Group,,cluster-admin,*,,Cluster,HIGH,Wildcard verb or resource detected
system:kube-proxy,User,,system:node-proxier,get list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
kindnet,ServiceAccount,kube-system,kindnet,list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
system:bootstrappers:kubeadm:default-node-token,Group,,kubeadm:get-nodes,get,nodes,Cluster,HIGH,Access to nodes (host-level access)
system:kube-scheduler,User,,system:kube-scheduler,get list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
system:kube-controller-manager,User,,system:kube-controller-manager,list watch,*,Cluster,HIGH,Wildcard verb or resource detected
system:masters,Group,,cluster-admin,*,*,Cluster,HIGH,Wildcard verb or resource detected
coredns,ServiceAccount,kube-system,system:coredns,get,nodes,Cluster,HIGH,Access to nodes (host-level access)
kube-proxy,ServiceAccount,kube-system,system:node-proxier,get list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
ttl-controller,ServiceAccount,kube-system,system:controller:ttl-controller,list patch update watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
service-controller,ServiceAccount,kube-system,system:controller:service-controller,list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
local-path-provisioner-service-account,ServiceAccount,local-path-storage,local-path-provisioner-role,get list watch,nodes persistentvolumeclaims configmaps,Cluster,HIGH,Access to nodes (host-level access)
local-path-provisioner-service-account,ServiceAccount,local-path-storage,local-path-provisioner-role,*,endpoints persistentvolumes pods,Cluster,HIGH,Wildcard verb or resource detected
route-controller,ServiceAccount,kube-system,system:controller:route-controller,list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
resourcequota-controller,ServiceAccount,kube-system,system:controller:resourcequota-controller,list watch,*,Cluster,HIGH,Wildcard verb or resource detected
pod-garbage-collector,ServiceAccount,kube-system,system:controller:pod-garbage-collector,get list,nodes,Cluster,HIGH,Access to nodes (host-level access)
persistent-volume-binder,ServiceAccount,kube-system,system:controller:persistent-volume-binder,get list,nodes,Cluster,HIGH,Access to nodes (host-level access)
node-controller,ServiceAccount,kube-system,system:controller:node-controller,delete get list patch update,nodes,Cluster,HIGH,Access to nodes (host-level access)
attachdetach-controller,ServiceAccount,kube-system,system:controller:attachdetach-controller,get list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
namespace-controller,ServiceAccount,kube-system,system:controller:namespace-controller,delete deletecollection get list,*,Cluster,HIGH,Wildcard verb or resource detected
horizontal-pod-autoscaler,ServiceAccount,kube-system,system:controller:horizontal-pod-autoscaler,get list,*,Cluster,HIGH,Wildcard verb or resource detected
horizontal-pod-autoscaler,ServiceAccount,kube-system,system:controller:horizontal-pod-autoscaler,get list,*,Cluster,HIGH,Wildcard verb or resource detected
generic-garbage-collector,ServiceAccount,kube-system,system:controller:generic-garbage-collector,delete get list patch update watch,*,Cluster,HIGH,Wildcard verb or resource detected
endpointslice-controller,ServiceAccount,kube-system,system:controller:endpointslice-controller,get list watch,nodes pods services,Cluster,HIGH,Access to nodes (host-level access)
daemon-set-controller,ServiceAccount,kube-system,system:controller:daemon-set-controller,list watch,nodes,Cluster,HIGH,Access to nodes (host-level access)
system:kube-controller-manager,User,,system:kube-controller-manager,update,secrets serviceaccounts,Cluster,MEDIUM,Can access secrets (sensitive credential exposure)
expand-controller,ServiceAccount,kube-system,system:controller:expand-controller,get,secrets,Cluster,MEDIUM,Can access secrets (sensitive credential exposure)
token-cleaner,ServiceAccount,kube-system,system:controller:token-cleaner,delete get list watch,secrets,Namespaced,MEDIUM,Can access secrets (sensitive credential exposure)
cloud-provider,ServiceAccount,kube-system,system:controller:cloud-provider,create get list watch,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
bootstrap-signer,ServiceAccount,kube-system,system:controller:bootstrap-signer,get list watch,secrets,Namespaced,MEDIUM,Can access secrets (sensitive credential exposure)
kube-scheduler,ServiceAccount,kube-system,system::leader-locking-kube-scheduler,get update,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:kube-scheduler,User,,system::leader-locking-kube-scheduler,get update,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
kube-controller-manager,ServiceAccount,kube-system,system::leader-locking-kube-controller-manager,get update,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:kube-controller-manager,User,,system::leader-locking-kube-controller-manager,get update,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:kube-scheduler,User,,extension-apiserver-authentication-reader,get list watch,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:kube-controller-manager,User,,extension-apiserver-authentication-reader,get list watch,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:nodes,Group,,kubeadm:nodes-kubeadm-config,get,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:bootstrappers:kubeadm:default-node-token,Group,,kubeadm:nodes-kubeadm-config,get,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:bootstrappers:kubeadm:default-node-token,Group,,kubeadm:kubelet-config,get,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:nodes,Group,,kubeadm:kubelet-config,get,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
system:bootstrappers:kubeadm:default-node-token,Group,,kube-proxy,get,configmaps,Namespaced,MEDIUM,Can read configmaps (often contains credentials or API keys)
